ID	CSF1R
HG00096	0.22535561567989
HG00097	0.2192694444275
HG00099	0.17947283908112
HG00100	0.223995300784694
HG00101	0.322167239293219
HG00102	0.409944332772669
HG00103	0.394241026410803
HG00104	0.242152722266528
HG00105	0.421993744579673
HG00106	0.242196430242739
HG00108	0.277642710929979
HG00109	0.0585973280879128
HG00110	0.291412564304293
HG00111	0.379677975889579
HG00112	0.204233800931136
HG00114	0.106063059122879
HG00115	0.109049615357734
HG00116	0.187298204685757
HG00117	0.415235515522959
HG00118	0.246372862823102
HG00119	1.07231425756433
HG00120	0.534668723333401
HG00121	0.485099742871036
HG00122	0.2024476889256
HG00123	0.486371046184701
HG00124	0.573017365230716
HG00125	0.178947624353935
HG00126	0.120356788569496
HG00127	0.125723518127132
HG00128	0.327774963323891
HG00129	0.221401406965582
HG00130	0.337698541791698
HG00131	1.02288738974139
HG00132	0.354225006085156
HG00133	0.153119210517413
HG00134	0.306267694209156
HG00135	0.0842369146367794
HG00136	0.428060524401563
HG00137	0.391195553465236
HG00138	0.130509539524745
HG00139	1.28154342990609
HG00141	1.13765529052727
HG00142	0.372433349955033
HG00143	0.229116098844168
HG00145	0.338084853359094
HG00146	0.177309555141668
HG00148	0.602139927448488
HG00149	0.0660877979873336
HG00150	0.390284494096629
HG00151	0.166300890626911
HG00152	0.263876251689346
HG00154	0.305946287607829
HG00155	0.282781350997695
HG00156	0.243416457221633
HG00157	0.473832402371312
HG00158	0.16446060942916
HG00159	0.222368413525697
HG00160	0.253282818027418
HG00231	0.258145048245862
HG00232	0.28142078051048
HG00233	0.373666355698897
HG00234	0.215245070999307
HG00235	0.310524252528601
HG00236	0.42081205767777
HG00238	0.219481906766506
HG00239	0.193791540351133
HG00240	0.0235240826235114
HG00242	0.31884360838613
HG00243	0.46394515311592
HG00244	0.426606377227891
HG00245	0.229647219079443
HG00246	0.360160922302227
HG00247	0.198370829783433
HG00249	0.581056672608095
HG00250	0.32213890534544
HG00251	0.202303868599624
HG00252	0.547204606762861
HG00253	0.173387505579732
HG00255	0.287469762713394
HG00256	0.337190345340174
HG00257	0.619657052853062
HG00258	0.244732122276453
HG00259	0.285634075796424
HG00260	0.250006867715822
HG00261	0.0880841171186862
HG00262	0.0457035894000686
HG00263	0.242626071016574
HG00264	0.223662541811628
HG00265	0.730632241368137
HG01334	0.355286441243194
HG01789	0.272506854272425
HG01790	-0.000717710887590595
HG01791	0.201640380585431
HG02215	0.11279928340601
