ID	CSF1R
HG00171	0.228499096343161
HG00173	0.22999621780228
HG00174	0.603617056836228
HG00176	0.365010018583114
HG00177	0.263925344186817
HG00178	0.373781782889154
HG00179	0.307637091607813
HG00180	0.350556214881494
HG00181	0.431643616947266
HG00182	0.225171949439886
HG00183	0.663578089688438
HG00185	0.235515408914104
HG00186	0.356448081922642
HG00187	0.450993905270101
HG00188	0.349421988827107
HG00189	0.223793724948207
HG00266	0.331123143369668
HG00267	0.298576763824168
HG00268	0.412200919181707
HG00269	0.20217155507057
HG00271	0.0731591943416281
HG00272	0.268292714829072
HG00273	0.243085045974348
HG00274	0.281690340011054
HG00275	0.298970202530252
HG00276	0.274571821458188
HG00277	0.353074981988825
HG00278	0.423136651766685
HG00280	0.223036721785566
HG00281	0.203648902868695
HG00282	0.113934460902632
HG00284	0.230867143985626
HG00285	0.402736489359898
HG00306	0.0474912900588561
HG00308	0.18462653248491
HG00309	0.0296706868655325
HG00310	0.334067290129071
HG00311	0.218018808554089
HG00312	0.191782067596622
HG00313	0.030973471483318
HG00315	0.179530195545639
HG00319	0.264357191162978
HG00320	0.191303348916458
HG00321	-0.116869043166974
HG00323	0.25717899410261
HG00324	0.264082904271605
HG00325	0.171051261624872
HG00326	0.0231228250495551
HG00327	0.173716076597173
HG00328	0.0467317932872152
HG00329	0.0757722989052059
HG00330	0.138871232085033
HG00331	0.30487385766737
HG00332	0.551971479110632
HG00334	0.458785981460055
HG00335	0.653587718174305
HG00336	0.194780750392684
HG00337	0.371613203799938
HG00338	0.0816056368802005
HG00339	0.271042170435813
HG00341	0.128487542307348
HG00342	0.11244711726977
HG00343	0.259975919306792
HG00344	0.459038488714008
HG00345	0.38129186134132
HG00346	0.0428097248739177
HG00349	0.404583284402762
HG00350	0.190293635161266
HG00351	0.409152860121784
HG00353	0.229704888286436
HG00355	0.23456597271315
HG00356	0.312885518330853
HG00358	0.258557164589849
HG00359	0.505944070511629
HG00360	0.280444120583195
HG00361	0.138295493525788
HG00362	0.197885891039115
HG00364	0.499032247883788
HG00365	0.109397106170673
HG00366	0.130705959395073
HG00367	0.394283118595658
HG00369	0.222289810240026
HG00371	0.332481645170821
HG00372	0.0972414658264304
HG00373	0.116513245855778
HG00375	0.233238217110397
HG00376	0.0982386370691847
HG00377	0.280577655316872
HG00378	0.373198460191205
HG00379	0.215096977850788
HG00380	0.51360310100724
HG00381	0.142490051578658
HG00382	0.16355405429694
HG00383	0.0883250209850818
HG00384	0.0767069627475485
